Week,Compulsive Use,On MOUD,Withdrawal,Fatal Overdose,Death,Cumulative_Overdose_Deaths,Alive,Scenario
80,141516.90436553417,27338.34187485108,125143.22374748564,17.823694606769184,5983.470896140773,2065.562373193369,293998.4699878709,Intervention
81,140457.5804383481,27132.041055898757,126342.74029499594,17.690799521331652,6049.707521694953,2083.2531727147,293932.3617892428,Intervention
82,139413.20894981915,26927.382946807615,127525.80847933878,17.55978078983068,6115.79546566515,2100.812953504531,293866.4003759655,Intervention
83,138383.57732549874,26724.41964087111,128692.58683721846,17.43061169379053,6181.736699551478,2118.2435651983214,293800.5838035883,Intervention
84,137368.47595009548,26523.198015922462,129843.23618930913,17.303265889227323,6247.533166806023,2135.546831087549,293734.91015532706,Intervention
85,136367.6981300588,26323.760073261437,130977.91933835678,17.177717401758443,6313.186783225944,2152.7245484893074,293669.377541677,Intervention
86,135381.0400564055,26126.143256104802,132096.800787519,17.053940621754254,6378.699437341436,2169.778489111062,293603.98410002934,Intervention
87,134408.30076780397,25930.380748777374,133200.04647771196,16.93191029953298,6444.072990798607,2186.7103994105946,293538.7279942933,Intervention
88,133449.28211392814,25736.50175778853,134287.82354280708,16.8116015405998,6509.3092787373125,2203.5220009511945,293473.6074145237,Intervention
89,132503.7887190927,25544.531775871263,135360.30008158862,16.692989800931002,6574.410110163995,2220.2149907521257,293408.6205765526,Intervention
90,131571.6279461801,25354.492829997133,136417.64494544888,16.57605088230382,6639.377268319576,2236.7910416344293,293343.7657216261,Intervention
91,130652.6098608683,25166.403714320408,137460.02754085787,16.460760927672663,6704.212511042439,2253.251802562102,293279.0411160466,Intervention
92,129746.54719616837,24980.28020894829,138487.6176457024,16.347096416592255,6768.91757112657,2269.5988989786943,293214.4450508191,Intervention
93,128853.25531727857,24796.135285381,139500.58523864293,16.235034160688166,6833.494156674889,2285.833933139382,293149.97584130254,Intervention
94,127972.55218676243,24613.979299415496,140499.10034068787,16.12455129917511,6897.943951447829,2301.958484438557,293085.63182686584,Intervention
95,127104.25833005653,24433.820172259628,141483.3328682325,16.01562529442332,6962.26861520721,2317.9741097329807,293021.41137054865,Intervention
96,126248.19680131304,24255.663560559267,142453.45249685444,15.908233927573354,7026.469784055462,2333.882343660554,292957.3128587267,Intervention
97,125404.19314958197,24079.513015999353,143409.62853520017,15.80235529419938,7090.549070770244,2349.6846989547535,292893.3347007815,Intervention
98,124572.0753853368,23905.37013510063,144352.02980833713,15.69796780002123,7154.508065134514,2365.3826667547746,292829.47532877454,Intervention
99,123751.67394734702,23733.23469979702,145280.8245499824,15.595050156665218,7218.348334262094,2380.97771691144,292765.7331971264,Intervention
100,122942.82166990054,23563.104809343888,146196.18030305541,15.493581377473822,7282.071422918788,2396.4712982889137,292702.1067822998,Intervention
101,122145.35375037802,23394.977004074935,147098.26382803405,15.3935407733642,7345.678853839106,2411.864839062278,292638.594582487,Intervention
102,121359.10771718132,23228.846381494626,147987.2410186257,15.294907948735519,7409.17212803863,2427.1597470110137,292575.19511730166,Intervention
103,120583.92339801733,23064.706705164335,148863.27682429334,15.197662797425,7472.552725122101,2442.3574098084387,292511.906927475,Intervention
104,119819.64288853825,22902.550506813164,149726.53517920463,15.101785498712587,7535.822103587243,2457.4591953071513,292448.72857455607,Intervention
